iter	RMSE
131	0.4217758506
132	0.4215430763
133	0.421319969
134	0.4211306311
135	0.4208654656
136	0.4206060334
137	0.4203804819
138	0.4201364153
139	0.4198905369
140	0.4196791938
141	0.4195196355
142	0.419285211
143	0.4190573856
144	0.4188390239
145	0.4186114316
146	0.4183936427
147	0.4181414578
148	0.4179371439
149	0.4176759601
150	0.4174952077
151	0.4173030945
152	0.4171250597
153	0.4168358908
154	0.4166239388
155	0.416379326
156	0.4161830607
157	0.4159899758
158	0.4158199036
159	0.4155780111
160	0.4153695835
161	0.4151141504
162	0.4148950844
163	0.4147055046
164	0.4144508425
165	0.4142226065
166	0.4139469724
167	0.4137024933
168	0.4135028196
169	0.413263087
170	0.4130136591
171	0.4127354376
172	0.4125277916
173	0.4123051144
174	0.4121017857
175	0.4118572998
176	0.4116157057
177	0.4113302577
178	0.4110820484
179	0.4108328271
180	0.4105980742
181	0.4103644786
182	0.4101176137
183	0.4098823139
184	0.4096821912
185	0.4094548259
186	0.4091971821
187	0.4089579971
188	0.4087344167
189	0.4085038948
190	0.4082546684
191	0.4080151301
192	0.4077700517
193	0.4075206909
194	0.407240949
195	0.4069816672
196	0.4067403183
197	0.4065257898
198	0.4063473557
199	0.406092556
200	0.405874171
201	0.4055872819
202	0.4053756465
203	0.4051356979
204	0.4049003851
205	0.4046626539
206	0.4044257004
207	0.4042195339
208	0.4039911402
209	0.4037656375
210	0.4035420265
211	0.4033353032
212	0.4031016447
213	0.4028324142
214	0.4026144247
215	0.4023876995
216	0.4021424402
217	0.4019385163
218	0.4017637752
219	0.4015854582
220	0.4013677156
221	0.4011507959
222	0.4009171133
223	0.4007157425
224	0.4004808439
225	0.4002979718
226	0.4000480727
227	0.3998469811
228	0.3996400575
229	0.3994234584
230	0.3991711577
231	0.3989814965
232	0.3987736925
233	0.3985845962
234	0.3983803738
235	0.398193894
236	0.3979641695
237	0.3977174703
238	0.3975108719
239	0.3972796
240	0.3970689009
241	0.3968887097
242	0.3967187888
243	0.396478556
244	0.3962818459
245	0.3961255264
246	0.3959646943
247	0.3958090064
248	0.3955983851
249	0.3954114992
250	0.3951951115
251	0.3949837451
252	0.3947833045
253	0.39456878
254	0.3944014205
255	0.3942300998
256	0.3939831334
257	0.3937553187
258	0.3935489236
259	0.3933023656
260	0.3931259019
261	0.3929715443
262	0.3927290693
263	0.3925659922
264	0.3923551751
265	0.3921766976
266	0.3919955674
267	0.391824951
268	0.3916411097
269	0.3915271685
270	0.3913326523
271	0.3911218181
272	0.3909452137
273	0.3907660267
274	0.3905683289
275	0.3904480756
276	0.3902591532
277	0.3900429019
278	0.389931805
279	0.3897267753
280	0.3895674663
281	0.3894230427
282	0.3892054513
283	0.389014175
284	0.3888440508
285	0.3886462841
286	0.3885090436
287	0.3883921575
288	0.3881889945
289	0.3880151603
290	0.3878545634
291	0.3876921371
292	0.3875158579
293	0.387376547
294	0.3872006219
295	0.3870460379
296	0.3868818711
297	0.3867246239
298	0.3865635415
299	0.386398041
300	0.3862573802
301	0.3860365525
302	0.3859441209
303	0.3858400226
304	0.3857009712
305	0.3855754508
306	0.385410248
307	0.3852629192
308	0.3850971728
309	0.3848833658
310	0.3847322881
311	0.3845496509
312	0.3843929066
313	0.3842283972
314	0.3840549868
315	0.3838970872
316	0.3838022707
317	0.3836825531
318	0.3835273643
319	0.3834438248
320	0.3833097802
321	0.3831767665
322	0.3829910076
323	0.3828349532
324	0.3826830025
325	0.3825694417
326	0.3823743358
327	0.3822259182
328	0.3820015934
329	0.3818509449
330	0.3817060449
331	0.3815903253
332	0.3814918701
333	0.3813547483
334	0.3811736957
335	0.381064439
336	0.3809134039
337	0.3808169331
338	0.3806629178
339	0.3805178571
340	0.3803722468
341	0.380129401
342	0.3799624232
343	0.3798206339
344	0.3796054789
345	0.3794524426
346	0.3793090218
347	0.3791733325
348	0.3790647397
349	0.3788866578
350	0.3787391055
351	0.3786126124
352	0.3784547548
353	0.378312657
354	0.3782400495
355	0.3780419266
356	0.3778821363
357	0.3777540159
358	0.3776495477
359	0.3774927608
360	0.3773446771
361	0.3772362229
362	0.3771581486
363	0.3770375753
364	0.3768833905
365	0.3768156959
366	0.3766633685
367	0.3765480998
368	0.3763875708
369	0.3761694127
370	0.3760497372
371	0.3759166934
372	0.3757880952
373	0.3756261799
374	0.3755711728
375	0.3754592246
376	0.375411847
377	0.3752671086
378	0.3750658253
379	0.3749498233
380	0.3747934615
381	0.3746912975
382	0.3745129191
383	0.3743754248
384	0.3742106725
385	0.3740253148
386	0.3738497522
387	0.3736811901
388	0.3735804858
389	0.3734387019
390	0.3733600582
391	0.3731959266
392	0.3731345991
393	0.3730289517
394	0.372925076
395	0.3728151641
396	0.3726730516
397	0.3725173723
398	0.3724542335
399	0.3722933591
400	0.3721546874
401	0.3720898492
402	0.3720273972
403	0.3719286036
404	0.3718140519
405	0.3717609307
406	0.3715734959
407	0.3714436084
408	0.3712933875
409	0.3711712447
410	0.3710410212
411	0.3708958639
412	0.3707057683
413	0.370646972
414	0.3704914007
415	0.3703706683
416	0.3702822641
417	0.3701284509
418	0.369988082
419	0.3698695662
420	0.369757669
421	0.3696706657
422	0.3695390163
423	0.3693587926
424	0.3692244766
425	0.369088308
426	0.3689416616
427	0.3687949139
428	0.3686628026
429	0.3685787506
430	0.3684600086
431	0.3684013354
432	0.3682931975
433	0.3681996927
434	0.3680761213
435	0.3679577732
436	0.3678866224
437	0.3677594662
438	0.3676483371
439	0.3675262095
440	0.3673769325
441	0.3673216556
442	0.3671726829
443	0.3670583827
444	0.3669422541
445	0.366775266
446	0.3666311341
447	0.3664993424
448	0.3664149599
449	0.3662740537
450	0.3661650476
451	0.3660077843
452	0.3658887049
453	0.3657343819
454	0.3656038422
455	0.3654774691
456	0.365350704
457	0.3652919487
458	0.3651433508
459	0.3650678258
460	0.3649584398
461	0.364853594
462	0.3647855277
463	0.3646348289
464	0.364496294
465	0.3644434313
466	0.3643801353
467	0.3642596707
468	0.3641437213
469	0.3640084257
470	0.3639298303
471	0.3638307154
472	0.3637125648
473	0.363588436
474	0.3634977337
475	0.3633386155
476	0.36323596
477	0.3631736933
478	0.3630446151
479	0.3629643227
480	0.3628339587
481	0.3627937891
482	0.3626690501
483	0.362555366
484	0.3624648134
485	0.3624010722
486	0.3623533298
487	0.3621744385
488	0.3620863303
489	0.3620315959
490	0.3619038329
491	0.3617857304
492	0.3616787932
493	0.3615452771
494	0.3614212539
495	0.3612876635
496	0.3611853157
497	0.3609873762
498	0.3608671281
499	0.3607467566
500	0.3606616628
501	0.3605083544
502	0.3604035706
503	0.3602534441
504	0.3601993481
505	0.3600683116
506	0.3599247749
507	0.3598805513
508	0.3598018386
509	0.3597377031
510	0.359639424
511	0.3595185914
512	0.3593839557
513	0.3593280631
514	0.3592329519
515	0.3591061767
516	0.3590463911
517	0.3589852631
518	0.3588561716
519	0.35874626
520	0.3586892702
521	0.3585483769
522	0.3583968837
523	0.3583064343
524	0.3581900204
525	0.3580539444
526	0.357969054
527	0.3578469077
528	0.3577904109
529	0.357711124
530	0.3576219167
531	0.3575579777
532	0.3574433315
533	0.3573172831
534	0.357214713
535	0.3570630062
536	0.3570099784
537	0.356933726
538	0.3568198718
539	0.3566677172
540	0.3565558101
541	0.3564442871
542	0.3563198995
543	0.3561892207
544	0.3560867665
545	0.3559879399
546	0.3559515274
547	0.3558346132
548	0.3557459749
549	0.3555993091
550	0.3555455742
551	0.355455969
552	0.3554016902
553	0.3553371733
554	0.3551600895
555	0.3550728119
556	0.3549454015
557	0.3548619944
558	0.3548329336
559	0.3547898828
560	0.3546857266
561	0.3545876477
562	0.3544978416
563	0.3544121606
564	0.3543010283
565	0.3541401368
566	0.3541016967
567	0.3540125553
568	0.3539024301
569	0.3538379399
570	0.3537765248
571	0.3536547046
572	0.3535854385
573	0.353505403
574	0.3533937786
575	0.3532465444
576	0.3530680915
577	0.3529397971
578	0.3528476169
579	0.3527476357
580	0.352630048
581	0.352559975
582	0.3524316686
583	0.3523340255
584	0.3522491912
585	0.3521471669
586	0.3520540462
587	0.3519726258
588	0.351831363
589	0.3517816162
590	0.3517188373
591	0.3515957174
592	0.3514892695
593	0.3514264443
594	0.3513319567
595	0.3512512085
596	0.3511663349
597	0.3510481463
598	0.3509973347
599	0.3509603157
600	0.3509039068
601	0.3508139987
602	0.3507573095
603	0.3506762835
604	0.3505790163
605	0.3504797008
606	0.3504273424
607	0.3503870028
608	0.3502996998
609	0.3501636349
610	0.3500994184
611	0.3500499416
612	0.3499971277
613	0.349860093
614	0.3498168111
615	0.3497375678
616	0.3496226173
617	0.3495314734
618	0.3494122793
619	0.3492912437
620	0.3492137231
621	0.3491127949
622	0.3490231003
623	0.3489596476
624	0.3488457006
625	0.3487662016
626	0.348725886
627	0.348608238
628	0.3485070342
629	0.3484116904
630	0.3483193795
631	0.3482789632
632	0.3482410314
633	0.3481210967
634	0.3479969007
635	0.3478759692
636	0.3478222387
637	0.3476710996
638	0.3476255449
639	0.3475604209
640	0.3474570157
641	0.347350794
642	0.3472657494
643	0.3472111915
644	0.3471343
645	0.3470296483
646	0.3469856492
647	0.3469220709
648	0.3468340892
649	0.346732394
650	0.3466351316
651	0.3465299576
652	0.3463896596
653	0.3462767625
654	0.3461664567
655	0.3460632643
656	0.3460074572
657	0.3458969508
658	0.3458312369
659	0.3457981756
660	0.3456682009
661	0.3456315158
662	0.3455360855
663	0.3454174214
664	0.3452761061
665	0.3452462571
666	0.3452050235
667	0.3451101754
668	0.3450226307
669	0.344911793
670	0.3448336877
671	0.3447922711
672	0.3446786084
673	0.3445827508
674	0.3445025602
675	0.3444272389
676	0.3443635383
677	0.3443174263
678	0.3441582216
679	0.3440510833
680	0.3439297526
681	0.3438721485
682	0.3437885531
683	0.343669524
684	0.343566078
685	0.3435362665
686	0.3433919476
687	0.3432796394
688	0.3432423405
689	0.3431499057
690	0.3430906633
691	0.3430106858
692	0.3429719325
693	0.3428692877
694	0.3427989954
695	0.3427292488
696	0.3426297654
697	0.3425334566
698	0.3424745302
699	0.3424321891
700	0.342291594
701	0.342185024
702	0.3420926311
703	0.3420059729
704	0.3419249155
705	0.3418369754
706	0.341727849
707	0.3416196615
708	0.3415846033
709	0.3414899862
710	0.3413733447
711	0.3412133855
712	0.341109841
713	0.3410246661
714	0.3409210868
715	0.3407910858
716	0.3407230451
717	0.3406973196
718	0.3405898537
719	0.3405182678
720	0.3404178735
721	0.3403366858
722	0.3402735478
723	0.34018401
724	0.3400936044
725	0.3400127695
726	0.3399582064
727	0.3398758
728	0.3397997993
729	0.3396960658
730	0.3395870501
731	0.3395004866
732	0.3394611418
733	0.3393244709
734	0.3392321887
735	0.3391403764
736	0.3390612826
737	0.339018438
738	0.3389809543
739	0.3389565343
740	0.338885657
741	0.3388051086
742	0.338709203
743	0.3386359178
744	0.338573107
745	0.3385057756
746	0.3383888127
747	0.3383147808
748	0.3382558136
749	0.3381951237
750	0.3381630774
751	0.3380773935
752	0.3379747471
753	0.3378336424
754	0.3377495658
755	0.3377227954
756	0.337663245
757	0.3375248204
758	0.3374947097
759	0.337445729
760	0.337351141
761	0.3373069388
762	0.3372226563
763	0.3371740712
764	0.3371469364
765	0.3370614166
766	0.3369901855
767	0.3368866618
768	0.3368319686
769	0.3367055773
770	0.3366274174
771	0.3365362307
772	0.3365032165
773	0.3364583805
774	0.3363946354
775	0.3362991656
776	0.3362009085
777	0.3360874341
778	0.3360470751
779	0.3360219478
780	0.3359091398
781	0.3358216197
782	0.3357155045
783	0.3356210453
784	0.3355485308
785	0.3354911892
786	0.3353700618
787	0.3353426672
788	0.3352169979
789	0.3351235053
790	0.3350502995
791	0.3350160784
792	0.3349462157
793	0.3348739339
794	0.3348379248
795	0.3347505536
796	0.3346529896
797	0.334592681
798	0.3345502838
799	0.3344647775
800	0.3344052195
801	0.3343133921
802	0.334232341
803	0.3341394194
804	0.3340720374
805	0.3340129695
806	0.3339716935
807	0.3339395418
808	0.3338108755
809	0.3337581983
810	0.333698457
811	0.3336690274
812	0.333622752
813	0.3335756554
814	0.3335040762
815	0.3334316253
816	0.3333909612
817	0.3332733077
818	0.3331502019
819	0.3330782418
820	0.3329613584
821	0.3329105711
822	0.3328250425
823	0.3327961409
824	0.3326531431
825	0.3325798839
826	0.3325082109
827	0.3324562784
828	0.3323694124
829	0.3323080134
830	0.3322529493
831	0.3322158926
832	0.3321779027
833	0.3320712646
834	0.3319720552
835	0.3319431187
836	0.3318581452
837	0.3318072104
838	0.3317101769
839	0.3316630948
840	0.3315216662
841	0.3314597093
842	0.3313956126
843	0.3313355288
844	0.3313082493
845	0.3312060062
846	0.3311674521
847	0.331068079
848	0.3310273128
849	0.3309724456
850	0.3309259055
851	0.3308545714
852	0.3307838992
853	0.330676174
854	0.3306494086
855	0.3304975585
856	0.3304022232
857	0.3303295165
858	0.3302878652
859	0.330191173
860	0.3300993234
861	0.330038226
862	0.3300036649
863	0.329904198
864	0.3298378983
865	0.329804892
866	0.3297647464
867	0.3297053925
868	0.3296552209
869	0.3295660547
870	0.3294715003
871	0.3294128538
872	0.3293254188
873	0.3292581987
874	0.3291836207
875	0.3291093864
876	0.3290692954
877	0.3290065104
878	0.3289526021
879	0.328873241
880	0.3288230061
881	0.3287874198
882	0.3287210149
883	0.3286062736
884	0.3285110023
885	0.3284290323
886	0.3284002268
887	0.3283129333
888	0.3282779775
889	0.3281700294
890	0.3280607055
891	0.3279767378
892	0.3278955022
893	0.3278649989
894	0.3277928242
895	0.3277521116
896	0.3276967925
897	0.327563464
898	0.3274659867
899	0.3274427842
900	0.3273530223
901	0.3272748269
902	0.3271796092
903	0.32709627
904	0.3269886813
905	0.3269423987
906	0.3268813126
907	0.3268015772
908	0.3267655301
909	0.3267312211
910	0.3266958733
911	0.3266591847
912	0.32661654
913	0.3265266827
914	0.3264653171
915	0.3263269814
916	0.3262461459
917	0.326207684
918	0.3261602321
919	0.3260697901
920	0.3259610171
921	0.3258879596
922	0.3257990271
923	0.3257702573
924	0.3256708642
925	0.3256349086
926	0.3255931186
927	0.3255607614
928	0.3255384747
929	0.3254729879
930	0.3253230501
931	0.3252599074
932	0.3251400544
933	0.3250863557
934	0.3250316784
935	0.3249487639
936	0.3248775373
937	0.3247942381
938	0.3247189027
939	0.3246497402
940	0.3245733643
941	0.324547513
942	0.3244930581
943	0.3244422056
944	0.3243935302
945	0.3243127668
946	0.3242708792
947	0.3242158209
948	0.324175272
949	0.324120804
950	0.3240020379
951	0.3239739159
952	0.323918547
953	0.3238070309
954	0.3237583671
955	0.3236989821
956	0.3235980359
957	0.3235610645
958	0.3235237981
959	0.3234263973
960	0.3233591362
961	0.32333133
962	0.323249301
963	0.3231605664
964	0.3230934645
965	0.323063838
966	0.3229747648
967	0.3229416917
968	0.322902467
969	0.322866361
970	0.3228425238
971	0.3227661012
972	0.3226987747
973	0.3226650934
974	0.3225661506
975	0.3225192018
976	0.3224866456
977	0.3224149088
978	0.3223874274
979	0.3222728479
980	0.3222042798
981	0.3221544928
982	0.3221129522
983	0.3220857206
984	0.3220188929
985	0.3219901137
986	0.3219129023
987	0.3217965803
988	0.3217167734
989	0.3216216608
990	0.3215846059
991	0.3215566012
992	0.3214926186
993	0.3214243343
994	0.3213380962
995	0.3212635042
996	0.3212001272
997	0.3211654104
998	0.3211216838
999	0.3210903231
